PDB1	PDB2	SDM
1a4f_B	1cg5_B	185.508118239
1a4f_B	1faw_B	87.935498998
1a4f_B	1fhj_B	107.406267242
1a4f_B	1gcv_B	182.208021444
1a4f_B	1hbr_B	87.4386648127
1a4f_B	1hds_B	154.986037405
1a4f_B	1out_B	135.706008633
1a4f_B	1qpw_B	115.201285417
1a4f_B	1s0h_B	122.610875082
1a4f_B	1spg_B	123.657120958
1a4f_B	1v4w_B	134.676340764
1a4f_B	1wmu_B	96.7848159833
1a4f_B	1xq5_B	123.107517905
1a4f_B	2d5x_B	107.11205905
1a4f_B	2dn3_B	116.644648313
1a4f_B	2qss_B	107.521690793
1a4f_B	3d1k_B	127.315947408
1a4f_B	Ancestor_model_B	22.8612344402
1cg5_B	1faw_B	188.193065983
1cg5_B	1fhj_B	180.706677793
1cg5_B	1gcv_B	121.557411352
1cg5_B	1hbr_B	179.555263275
1cg5_B	1hds_B	208.710004474
1cg5_B	1out_B	161.160612931
1cg5_B	1qpw_B	179.285881304
1cg5_B	1s0h_B	199.18393345
1cg5_B	1spg_B	196.23555458
1cg5_B	1v4w_B	145.570249577
1cg5_B	1wmu_B	177.896633939
1cg5_B	1xq5_B	161.114024288
1cg5_B	2d5x_B	194.970609567
1cg5_B	2dn3_B	188.893247607
1cg5_B	2qss_B	199.897542017
1cg5_B	3d1k_B	150.628816238
1cg5_B	Ancestor_model_B	188.328788012
1faw_B	1fhj_B	108.346092872
1faw_B	1gcv_B	184.368036518
1faw_B	1hbr_B	86.4506481712
1faw_B	1hds_B	155.104382964
1faw_B	1out_B	134.463425582
1faw_B	1qpw_B	118.977411082
1faw_B	1s0h_B	124.496570349
1faw_B	1spg_B	122.804585674
1faw_B	1v4w_B	135.050461498
1faw_B	1wmu_B	98.8841579933
1faw_B	1xq5_B	123.144451297
1faw_B	2d5x_B	110.20717303
1faw_B	2dn3_B	122.221489478
1faw_B	2qss_B	113.217216069
1faw_B	3d1k_B	132.8476835
1faw_B	Ancestor_model_B	25.9461141424
1fhj_B	1gcv_B	164.915262623
1fhj_B	1hbr_B	103.153153732
1fhj_B	1hds_B	145.675892092
1fhj_B	1out_B	130.855094322
1fhj_B	1qpw_B	99.7562670861
1fhj_B	1s0h_B	108.442609289
1fhj_B	1spg_B	137.668779193
1fhj_B	1v4w_B	140.378443387
1fhj_B	1wmu_B	106.446426285
1fhj_B	1xq5_B	130.053325829
1fhj_B	2d5x_B	102.971864642
1fhj_B	2dn3_B	97.5994592722
1fhj_B	2qss_B	98.7781608997
1fhj_B	3d1k_B	127.546163374
1fhj_B	Ancestor_model_B	14.8883928678
1gcv_B	1hbr_B	175.898189831
1gcv_B	1hds_B	203.910702127
1gcv_B	1out_B	149.892727796
1gcv_B	1qpw_B	176.596054158
1gcv_B	1s0h_B	194.701258159
1gcv_B	1spg_B	192.863161721
1gcv_B	1v4w_B	121.959903392
1gcv_B	1wmu_B	174.682991701
1gcv_B	1xq5_B	144.443996615
1gcv_B	2d5x_B	190.368411784
1gcv_B	2dn3_B	184.674745536
1gcv_B	2qss_B	186.988633547
